code,description,dmc_code,color,keywords,brand
6,MUST ADD,353,#fdb4a1,"peach,pink",anchor
9,MUST ADD,760,#ec8880,"pink,salmon",anchor
10,MUST ADD,3712,#d95d5d,"salmon,pink",anchor
11,MUST ADD,350,#de3f40,"red,coral",anchor
13,MUST ADD,817,#bb1630,"red,dark red",anchor
19,MUST ADD,498,#970b2c,"red,dark red",anchor
20,MUST ADD,815,#800b34,"red,dark red",anchor
22,MUST ADD,902,#651329,"red,dark red",anchor
23,MUST ADD,3689,#f8bbc8,"mauve,pink,light mauve",anchor
24,MUST ADD,776,#fca8ad,pink,anchor
25,MUST ADD,957,#fd99af,pink,anchor
26,MUST ADD,893,#f66879,"pink,light pink",anchor
27,MUST ADD,893,#f66879,"pink,light pink",anchor
28,MUST ADD,892,#f44753,pink,anchor
29,MUST ADD,666,#ce1b33,"red,bright red",anchor
33,MUST ADD,956,#f7566d,pink,anchor
36,MUST ADD,3326,#f9979c,"rose,pink",anchor
38,MUST ADD,335,#d63d57,"red,rose",anchor
39,MUST ADD,817,#bb1630,"red,dark red",anchor
40,MUST ADD,603,#ed5d84,"pink,cranberry",anchor
41,MUST ADD,335,#d63d57,"red,rose",anchor
42,MUST ADD,321,#bd1136,red,anchor
43,MUST ADD,815,#800b34,"red,dark red",anchor
44,MUST ADD,902,#651329,"red,dark red",anchor
45,MUST ADD,902,#651329,"red,dark red",anchor
46,MUST ADD,606,#f70f00,"red,orange,orange-red",anchor
47,MUST ADD,498,#970b2c,"red,dark red",anchor
48,MUST ADD,963,#fdccd1,"pink,light pink",anchor
50,MUST ADD,957,#fd99af,pink,anchor
51,MUST ADD,605,#fbacc4,"pink,cranberry",anchor
59,MUST ADD,777,#9b0042,red,anchor
60,MUST ADD,3354,#efa5ac,"rose,pink",anchor
62,MUST ADD,603,#ed5d84,"pink,cranberry",anchor
65,MUST ADD,777,#9b0042,red,anchor
66,MUST ADD,3608,#ec81be,"pink,rose,plum",anchor
70,MUST ADD,814,#711033,"red,dark red",anchor
72,MUST ADD,902,#651329,"red,dark red",anchor
73,MUST ADD,963,#fdccd1,"pink,light pink",anchor
74,MUST ADD,957,#fd99af,pink,anchor
76,MUST ADD,961,#de586c,"pink,dark pink",anchor
77,MUST ADD,3687,#b5455d,"mauve,red,maroon",anchor
78,MUST ADD,917,#ac1071,"plum,purple",anchor
79,MUST ADD,3687,#b5455d,"mauve,red,maroon",anchor
85,MUST ADD,605,#fbacc4,"pink,cranberry",anchor
86,MUST ADD,3608,#ec81be,"pink,rose,plum",anchor
87,MUST ADD,718,#cb2089,"plum,pink",anchor
88,MUST ADD,917,#ac1071,"plum,purple",anchor
89,MUST ADD,917,#ac1071,"plum,purple",anchor
92,MUST ADD,553,#a449ac,"violet,purple",anchor
94,MUST ADD,915,#95085a,"plum,purple",anchor
97,Violet,209,#ba72c6,,anchor
101,MUST ADD,550,#580e5c,"violet,purple",anchor
102,Violet,155,#9774b6,,anchor
103,MUST ADD,3689,#f8bbc8,"mauve,pink,light mauve",anchor
111,MUST ADD,333,#6e2e9b,"purple,violet",anchor
112,MUST ADD,326,#ac1c37,"red,rose",anchor
117,MUST ADD,519,#94b7cb,"blue,sky blue,light blue",anchor
118,MUST ADD,793,#7c82b5,blue,anchor
119,MUST ADD,792,#454b8b,"blue,dark blue",anchor
121,MUST ADD,793,#7c82b5,blue,anchor
123,Blueberry,158,#393068,,anchor
127,MUST ADD,822,#e8dfc7,"beige,tan,light brown,cream",anchor
128,MUST ADD,828,#c3d7e6,"blue,light blue",anchor
131,MUST ADD,322,#3a609d,"blue,baby blue",anchor
132,MUST ADD,312,#002a64,"blue,dark blue",anchor
133,MUST ADD,312,#002a64,"blue,dark blue",anchor
134,MUST ADD,820,#151264,"blue,dark blue",anchor
136,MUST ADD,334,#6085b8,"blue,light blue",anchor
137,MUST ADD,322,#3a609d,"blue,baby blue",anchor
139,MUST ADD,312,#002a64,"blue,dark blue",anchor
142,MUST ADD,995,#0061b0,blue,anchor
143,MUST ADD,824,#284779,"dark blue,blue",anchor
144,MUST ADD,519,#94b7cb,"blue,sky blue,light blue",anchor
145,MUST ADD,799,#6b7fc0,"blue,light blue",anchor
146,MUST ADD,322,#3a609d,"blue,baby blue",anchor
148,MUST ADD,311,#002a64,"blue,navy,dark blue",anchor
149,MUST ADD,336,#0c275e,"blue,navy",anchor
150,MUST ADD,803,#202754,"blue,dark blue",anchor
152,MUST ADD,938,#45271a,"brown,dark brown",anchor
158,MUST ADD,747,#cee9ea,"light blue,blue",anchor
159,MUST ADD,3325,#adcde7,"blue,light blue",anchor
160,MUST ADD,827,#a4c1de,"blue,light blue",anchor
162,MUST ADD,806,#1d6c87,"blue,green,peacock",anchor
167,MUST ADD,598,#52adab,"green,turquoise",anchor
168,MUST ADD,598,#52adab,"green,turquoise",anchor
169,MUST ADD,806,#1d6c87,"blue,green,peacock",anchor
178,MUST ADD,791,#2d2068,"blue,dark blue",anchor
185,MUST ADD,959,#72d0b7,green,anchor
186,MUST ADD,597,#52adab,"turquoise,green",anchor
205,MUST ADD,562,#3b8c5a,"green,jade",anchor
206,MUST ADD,955,#a8ebad,"green,light green",anchor
209,MUST ADD,912,#36b26b,"green,emerald",anchor
210,MUST ADD,561,#285e48,"green,emerald,jade",anchor
211,MUST ADD,700,#076c34,green,anchor
212,MUST ADD,986,#2e5230,"green,dark green",anchor
213,MUST ADD,3024,#beb8ac,"brown,tan,taupe",anchor
214,MUST ADD,966,#94d28a,green,anchor
215,MUST ADD,320,#608c59,"pistachio,green",anchor
216,Juniper,163,#557a60,,anchor
217,MUST ADD,561,#285e48,"green,emerald,jade",anchor
218,MUST ADD,500,#1d362a,"blue green,green,dark blue green",anchor
219,MUST ADD,564,#95e4af,"green,mint,jade,light green",anchor
221,MUST ADD,502,#57826e,"green,blue green",anchor
225,MUST ADD,989,#71a74e,green,anchor
226,MUST ADD,702,#379130,"green,kelly green",anchor
227,MUST ADD,701,#217c36,"green,light green",anchor
228,MUST ADD,700,#076c34,green,anchor
229,MUST ADD,700,#076c34,green,anchor
230,MUST ADD,910,#10814e,green,anchor
231,MUST ADD,3024,#beb8ac,"brown,tan,taupe",anchor
232,MUST ADD,452,#ad9994,"gray,grey,brown,sand",anchor
233,MUST ADD,640,#817868,"gray,grey,beige",anchor
234,MUST ADD,762,#d1d0d2,"gray,grey,silver",anchor
235,MUST ADD,414,#766e72,"steel,black,gray,grey,silver",anchor
236,MUST ADD,900,#c63117,"red,orange",anchor
237,MUST ADD,704,#88c53a,"green,light green",anchor
238,MUST ADD,703,#63b330,"green,light green",anchor
239,MUST ADD,702,#379130,"green,kelly green",anchor
240,MUST ADD,966,#94d28a,green,anchor
241,MUST ADD,368,#7fc66d,"green,pistachio,light green",anchor
242,MUST ADD,989,#71a74e,green,anchor
243,MUST ADD,988,#66924a,green,anchor
244,MUST ADD,987,#436838,green,anchor
254,MUST ADD,3348,#bedf74,"green,yellow green,yellow",anchor
255,MUST ADD,704,#88c53a,"green,light green",anchor
256,MUST ADD,906,#6c9e29,"green,lime",anchor
257,MUST ADD,905,#467924,green,anchor
258,MUST ADD,580,#355f0b,"green,dark green",anchor
259,MUST ADD,772,#d7efa7,"green,lime",anchor
260,MUST ADD,3053,#999d75,"green gray,green grey,green",anchor
261,MUST ADD,3362,#49523c,"green,pine",anchor
262,MUST ADD,987,#436838,green,anchor
263,MUST ADD,471,#9eb357,"green,lime,avocado",anchor
264,MUST ADD,3013,#afa97b,"green,khaki",anchor
265,MUST ADD,471,#9eb357,"green,lime,avocado",anchor
266,MUST ADD,470,#72813e,"green,avocado",anchor
267,MUST ADD,905,#467924,green,anchor
268,MUST ADD,904,#386324,"green,dark green",anchor
269,MUST ADD,520,#384526,"fern green,green,dark green",anchor
271,MUST ADD,818,#fededd,"pink,light pink",anchor
274,MUST ADD,3072,#d2d2ca,"gray,grey",anchor
276,MUST ADD,739,#f2deb9,"tan,light brown",anchor
277,MUST ADD,831,#7c5f20,"gold,brown",anchor
279,MUST ADD,734,#bb9c54,"green,gold,olive green",anchor
280,MUST ADD,733,#a78a44,"olive green,green",anchor
281,MUST ADD,831,#7c5f20,"gold,brown",anchor
288,MUST ADD,743,#fdd769,yellow,anchor
289,MUST ADD,307,#fde949,"yellow,lemon",anchor
290,MUST ADD,444,#f5bc13,"lemon,yellow,dark yellow",anchor
291,MUST ADD,444,#f5bc13,"lemon,yellow,dark yellow",anchor
292,MUST ADD,745,#feeba5,yellow,anchor
293,MUST ADD,727,#fde98b,"yellow,topaz",anchor
295,MUST ADD,726,#fddb63,yellow,anchor
297,MUST ADD,973,#fccd2d,yellow,anchor
298,MUST ADD,444,#f5bc13,"lemon,yellow,dark yellow",anchor
300,MUST ADD,677,#f2dc9f,"gold,yellow,light yellow",anchor
302,MUST ADD,725,#f9c15b,"yellow,topaz",anchor
303,MUST ADD,972,#fb9f11,orange,anchor
304,MUST ADD,741,#fc8b10,"orange,tangerine",anchor
305,MUST ADD,725,#f9c15b,"yellow,topaz",anchor
307,MUST ADD,741,#fc8b10,"orange,tangerine",anchor
308,MUST ADD,782,#b26923,"topaz,brown",anchor
309,MUST ADD,782,#b26923,"topaz,brown",anchor
310,MUST ADD,780,#945026,"topaz,brown",anchor
311,MUST ADD,676,#ecbf7d,"gold,yellow,peach",anchor
314,MUST ADD,741,#fc8b10,"orange,tangerine",anchor
316,MUST ADD,740,#fd6f1a,"orange,tangerine",anchor
323,MUST ADD,722,#f98756,orange,anchor
324,MUST ADD,721,#f46440,orange,anchor
328,MUST ADD,3341,#fd8e78,"apricot,pink",anchor
329,MUST ADD,3340,#fd6b4f,"pink,apricot",anchor
330,MUST ADD,970,#fb6721,"red,orange,pumpkin",anchor
332,MUST ADD,946,#ed4115,"orange,red",anchor
333,MUST ADD,946,#ed4115,"orange,red",anchor
334,MUST ADD,606,#f70f00,"red,orange,orange-red",anchor
335,MUST ADD,606,#f70f00,"red,orange,orange-red",anchor
336,MUST ADD,402,#ef9e74,"light mahogany,peach,pink,tan",anchor
342,Lilac,211,#e5bded,,anchor
343,MUST ADD,932,#93a0af,blue,anchor
344,MUST ADD,919,#9b371b,"red,brown,copper",anchor
347,MUST ADD,729,#ce9657,"gold,yellow,orange",anchor
349,MUST ADD,781,#a25f1f,"topaz,brown",anchor
352,MUST ADD,300,#6c3116,"mahonagy,maroon,dark red",anchor
354,MUST ADD,611,#7c5f46,brown,anchor
357,MUST ADD,300,#6c3116,"mahonagy,maroon,dark red",anchor
358,MUST ADD,400,#813718,"mahogany,red,brown",anchor
359,MUST ADD,300,#6c3116,"mahonagy,maroon,dark red",anchor
360,MUST ADD,898,#532f1b,"brown,dark brown",anchor
361,MUST ADD,676,#ecbf7d,"gold,yellow,peach",anchor
366,MUST ADD,945,#f6c19a,"tan,brown",anchor
367,MUST ADD,738,#e2b783,"tan,brown",anchor
368,MUST ADD,422,#c99a67,"hazelnut,brown,sand,tan",anchor
369,MUST ADD,680,#b07b46,"gold,dark gold",anchor
370,MUST ADD,780,#945026,"topaz,brown",anchor
371,MUST ADD,400,#813718,"mahogany,red,brown",anchor
372,MUST ADD,738,#e2b783,"tan,brown",anchor
373,MUST ADD,422,#c99a67,"hazelnut,brown,sand,tan",anchor
374,MUST ADD,832,#9c7230,"gold,brown",anchor
375,MUST ADD,420,#855a30,"hazelnut,brown",anchor
376,MUST ADD,842,#cbb094,"beige,brown,tan",anchor
378,MUST ADD,841,#a37d64,"brown,beige",anchor
379,MUST ADD,611,#7c5f46,brown,anchor
380,MUST ADD,938,#45271a,"brown,dark brown",anchor
381,MUST ADD,3371,#36220e,"black,brown,black brown",anchor
382,MUST ADD,3371,#36220e,"black,brown,black brown",anchor
386,MUST ADD,948,#fde6d3,"peach,pink,light pink",anchor
387,MUST ADD,739,#f2deb9,"tan,light brown",anchor
388,MUST ADD,842,#cbb094,"beige,brown,tan",anchor
390,MUST ADD,543,#ead0b5,"beige,tan,brown,pink",anchor
391,MUST ADD,453,#ccb8aa,"gray,grey,tan,sand",anchor
392,MUST ADD,3032,#9d8868,"brown,taupe",anchor
393,MUST ADD,840,#7a5939,"brown,beige",anchor
397,MUST ADD,644,#c4bea6,"gray,grey,beige",anchor
398,MUST ADD,168,#b1aeb7,"gray,grey,steal,silver",anchor
399,MUST ADD,647,#908e85,"gray,grey,medium gray,medium grey",anchor
400,MUST ADD,645,#5d5d54,"gray,grey,dark gray,dark grey",anchor
403,MUST ADD,310,#000000,"black,midnight,mascara",anchor
406,MUST ADD,310,#000000,"black,midnight,mascara",anchor
410,MUST ADD,995,#0061b0,blue,anchor
675,MUST ADD,597,#52adab,"turquoise,green",anchor
676,MUST ADD,452,#ad9994,"gray,grey,brown,sand",anchor
677,MUST ADD,451,#887773,"gray,grey,dark gray,dark grey,brown,chocolate",anchor
678,MUST ADD,611,#7c5f46,brown,anchor
681,MUST ADD,3011,#655935,"green,khaki",anchor
683,MUST ADD,890,#324233,"green,dark green",anchor
778,MUST ADD,754,#f7c9b0,"peach,pink",anchor
779,MUST ADD,926,#617674,"gray,grey,green",anchor
781,MUST ADD,931,#667684,"blue,gray,grey",anchor
799,MUST ADD,498,#970b2c,"red,dark red",anchor
802,MUST ADD,445,#fcf999,"lemon,light lemon,yellow",anchor
803,MUST ADD,971,#fc670d,"orange,red,pumpkin",anchor
806,MUST ADD,931,#667684,"blue,gray,grey",anchor
815,MUST ADD,414,#766e72,"steel,black,gray,grey,silver",anchor
816,MUST ADD,924,#384a4a,"gray,grey,green,dark green,dark blue green",anchor
817,MUST ADD,580,#355f0b,"green,dark green",anchor
820,MUST ADD,729,#ce9657,"gold,yellow,orange",anchor
830,MUST ADD,644,#c4bea6,"gray,grey,beige",anchor
832,MUST ADD,3032,#9d8868,"brown,taupe",anchor
837,MUST ADD,927,#9fa8a5,"gray,grey,grey green,gray green",anchor
838,MUST ADD,318,#999b9d,"gray,grey,steel,silver",anchor
840,MUST ADD,930,#495c6b,blue,anchor
842,MUST ADD,3046,#ceb074,"yellow,beige,tan",anchor
843,MUST ADD,3012,#8b7b4e,"green,khaki",anchor
844,MUST ADD,581,#838a29,green,anchor
845,MUST ADD,3011,#655935,"green,khaki",anchor
846,MUST ADD,3031,#423014,"brown,dark brown",anchor
847,MUST ADD,762,#d1d0d2,"gray,grey,silver",anchor
848,MUST ADD,415,#b8b9bd,"gray,grey,silver",anchor
849,MUST ADD,927,#9fa8a5,"gray,grey,grey green,gray green",anchor
850,MUST ADD,647,#908e85,"gray,grey,medium gray,medium grey",anchor
851,MUST ADD,501,#2f5446,"green,blue green,dark blue green",anchor
852,MUST ADD,2047,#ead8ab,"yellow,beige,tan",anchor
853,MUST ADD,613,#b99f72,"brown,light brown",anchor
854,MUST ADD,371,#9f8352,"mustard,brown",anchor
858,MUST ADD,524,#aea78e,"green,fern green",anchor
859,MUST ADD,3362,#49523c,"green,pine",anchor
860,MUST ADD,3052,#787e5c,"green,gray green,grey green",anchor
862,MUST ADD,520,#384526,"fern green,green,dark green",anchor
868,MUST ADD,950,#e5ac8d,"sand,pink,peach",anchor
869,MUST ADD,168,#b1aeb7,"gray,grey,steal,silver",anchor
870,MUST ADD,3042,#af98a0,"violet,purple",anchor
871,MUST ADD,3041,#866a76,"violet,purple",anchor
873,MUST ADD,779,#53332d,brown,anchor
874,MUST ADD,834,#d2b468,"gold,yellow",anchor
875,MUST ADD,503,#89b89f,"blue green,light green",anchor
878,MUST ADD,501,#2f5446,"green,blue green,dark blue green",anchor
879,MUST ADD,986,#2e5230,"green,dark green",anchor
880,MUST ADD,3033,#dbc7ad,"brown,tan",anchor
882,MUST ADD,437,#daa26f,"tan,brown",anchor
883,MUST ADD,3064,#ba7056,"sand,red,orange",anchor
884,MUST ADD,355,#97382b,"terra cotta,brown,red,dark red",anchor
885,MUST ADD,951,#faddb6,"peach,sand,tan",anchor
886,MUST ADD,676,#ecbf7d,"gold,yellow,peach",anchor
887,MUST ADD,834,#d2b468,"gold,yellow",anchor
889,MUST ADD,830,#6e501d,"gold,brown",anchor
890,MUST ADD,783,#d0883d,"topaz,brown,gold",anchor
891,MUST ADD,676,#ecbf7d,"gold,yellow,peach",anchor
892,MUST ADD,225,#f8d9cd,"pink,shell,peach",anchor
893,MUST ADD,761,#f8b4ad,"pink,salmon",anchor
894,Rose Wine Medium Light,224,#e2a598,,anchor
895,MUST ADD,316,#bc757f,"mauve,pink,rose",anchor
897,MUST ADD,902,#651329,"red,dark red",anchor
898,MUST ADD,370,#917245,"mustard,brown",anchor
900,MUST ADD,524,#aea78e,"green,fern green",anchor
901,MUST ADD,782,#b26923,"topaz,brown",anchor
903,MUST ADD,3012,#8b7b4e,"green,khaki",anchor
904,MUST ADD,3011,#655935,"green,khaki",anchor
905,MUST ADD,3031,#423014,"brown,dark brown",anchor
906,MUST ADD,829,#64480c,"gold,brown",anchor
907,MUST ADD,782,#b26923,"topaz,brown",anchor
914,MUST ADD,436,#c78559,"tan,brown,sand",anchor
920,MUST ADD,807,#558b9e,"blue,green,peacock",anchor
921,MUST ADD,931,#667684,"blue,gray,grey",anchor
922,MUST ADD,930,#495c6b,blue,anchor
924,MUST ADD,730,#63520b,"olive green,green,dark green",anchor
925,MUST ADD,946,#ed4115,"orange,red",anchor
926,MUST ADD,746,#faf2d5,"off white,cream",anchor
939,MUST ADD,793,#7c82b5,blue,anchor
940,MUST ADD,825,#34588f,"blue,dark blue",anchor
941,MUST ADD,824,#284779,"dark blue,blue",anchor
942,MUST ADD,676,#ecbf7d,"gold,yellow,peach",anchor
943,MUST ADD,729,#ce9657,"gold,yellow,orange",anchor
944,MUST ADD,830,#6e501d,"gold,brown",anchor
945,MUST ADD,734,#bb9c54,"green,gold,olive green",anchor
956,MUST ADD,842,#cbb094,"beige,brown,tan",anchor
970,Wineberry,223,#bb6864,,anchor
976,MUST ADD,932,#93a0af,blue,anchor
977,MUST ADD,334,#6085b8,"blue,light blue",anchor
1001,MUST ADD,976,#cf7532,"brown,gold",anchor
1003,MUST ADD,922,#dd6e4c,"copper,red",anchor
1004,MUST ADD,919,#9b371b,"red,brown,copper",anchor
1005,MUST ADD,498,#970b2c,"red,dark red",anchor
1006,MUST ADD,498,#970b2c,"red,dark red",anchor
1009,MUST ADD,225,#f8d9cd,"pink,shell,peach",anchor
1010,MUST ADD,951,#faddb6,"peach,sand,tan",anchor
1011,MUST ADD,225,#f8d9cd,"pink,shell,peach",anchor
1012,MUST ADD,945,#f6c19a,"tan,brown",anchor
1015,MUST ADD,498,#970b2c,"red,dark red",anchor
1017,MUST ADD,316,#bc757f,"mauve,pink,rose",anchor
1019,MUST ADD,315,#7d4246,"red,dark red,mauve,brown",anchor
1022,MUST ADD,760,#ec8880,"pink,salmon",anchor
1025,MUST ADD,347,#ab1b33,"red,rose,salmon",anchor
1028,MUST ADD,3685,#79263b,"mauve,red,maroon",anchor
1029,MUST ADD,816,#921238,"red,dark red",anchor
1031,MUST ADD,828,#c3d7e6,"blue,light blue",anchor
1032,MUST ADD,827,#a4c1de,"blue,light blue",anchor
1033,MUST ADD,932,#93a0af,blue,anchor
1034,MUST ADD,931,#667684,"blue,gray,grey",anchor
1036,MUST ADD,803,#202754,"blue,dark blue",anchor
1038,MUST ADD,519,#94b7cb,"blue,sky blue,light blue",anchor
1039,MUST ADD,597,#52adab,"turquoise,green",anchor
1040,MUST ADD,3022,#848274,"gray,grey,brown",anchor
1041,MUST ADD,935,#383a2a,dark green,anchor
1044,MUST ADD,500,#1d362a,"blue green,green,dark blue green",anchor
1045,MUST ADD,436,#c78559,"tan,brown,sand",anchor
1048,MUST ADD,976,#cf7532,"brown,gold",anchor
1049,MUST ADD,300,#6c3116,"mahonagy,maroon,dark red",anchor
1060,MUST ADD,519,#94b7cb,"blue,sky blue,light blue",anchor
1062,MUST ADD,807,#558b9e,"blue,green,peacock",anchor
1064,MUST ADD,518,#50819c,"blue,wedgewood,peacock",anchor
1070,MUST ADD,597,#52adab,"turquoise,green",anchor
1082,MUST ADD,3032,#9d8868,"brown,taupe",anchor
1084,MUST ADD,840,#7a5939,"brown,beige",anchor
1088,MUST ADD,934,#323324,"green black,black,dark green",anchor
1089,MUST ADD,995,#0061b0,blue,anchor
1090,MUST ADD,996,#49a8eb,"blue,light blue",anchor
1092,MUST ADD,598,#52adab,"green,turquoise",anchor
1094,MUST ADD,605,#fbacc4,"pink,cranberry",anchor
1096,MUST ADD,794,#a0b2d7,blue,anchor
1098,MUST ADD,666,#ce1b33,"red,bright red",anchor
3324,MUST ADD,740,#fd6f1a,"orange,tangerine",anchor
5975,MUST ADD,921,#c0573d,"red,copper",anchor
8581,MUST ADD,3052,#787e5c,"green,gray green,grey green",anchor
9046,MUST ADD,900,#c63117,"red,orange",anchor
9159,MUST ADD,828,#c3d7e6,"blue,light blue",anchor
9575,MUST ADD,437,#daa26f,"tan,brown",anchor