code,description,variant,classic_colorworks,color,keywords,anchor_codes,weeks_dye_works,brand
150,Red - Bright,6-strand,,#cf0053,[],[],"[Strawberry Fields,Cognac]",dmc
151,Pink,6-strand,,#ffcbd7,[],[],[],dmc
152,Tawny - Dark,6-strand,,#e1a1a1,[],[],[],dmc
153,Lilac,6-strand,Sugar and Spice,#eac5eb,[],[],[],dmc
154,Red - Very Dark,6-strand,Pansy Purple,#4b233a,"[red,dark red,purple]",[102],[Concord],dmc
155,Forget-Me-Not Blue,6-strand,,#9774b6,[],[102],[Peoria Purple],dmc
156,Blue - Medium,6-strand,,#393068,[],[],[],dmc
157,Blue - Light,6-strand,,#b5b8ea,"[blue,light blue,purple]",[],[],dmc
158,Blue - Dark,6-strand,Blue Beatrice,#393068,[],[123],[Sedonna],dmc
159,Petrol Blue - Light,6-strand,,#bcb5de,[],[],[],dmc
160,Petrol Blue - Medium,6-strand,Blue Moon,#8178a9,[],[],[],dmc
161,Petrol Blue - Dark,6-strand,,#60568b,[],[],[],dmc
162,Baby Blue - Light,6-strand,,#cae7f0,[],[],[],dmc
163,Green,6-strand,,#557a60,[],[216],[],dmc
164,Green - Light,6-strand,,#bae4b6,[],[],[],dmc
165,Green - Bright,6-strand,,#e1f477,"[green,light green,lime greem]",[],"[Citronella,Moonglow]",dmc
166,Lime Green,6-strand,,#adc238,[],[],[],dmc
167,Khaki Brown,6-strand,,#855d31,[],[],[Palomino],dmc
208,Lavender - Very Dark,6-strand,Argyle Socks,#9442a7,[],[],[],dmc
209,Lavender - Dark,6-strand,,#ba72c6,[],[97],[],dmc
210,Lavender - Medium,6-strand,Amethyst,#d49fe1,[],[],[],dmc
211,Lavender - Light,6-strand,Fleur de Lilac,#e5bded,[],[342],[Clara],dmc
221,Shell Pink - Very Dark,6-strand,,#792631,[],[],"[Baked Apple,Brick]",dmc
223,Shell Pink - Light,6-strand,,#bb6864,[],[970],"[Charlotte's Pink,Madison Rose]",dmc
224,Shell Pink - Light,6-strand,,#e2a598,[],[894],[],dmc
300,Mahogany - Very Dark,6-strand,,#6c3116,"[mahonagy,maroon,dark red]","[352,357,359,1049]",[],dmc
301,Mahogany - Medium,6-strand,,#aa5237,[],[],"[Cognac,Copper]",dmc
304,Red - Medium,6-strand,Cupid,#a10c39,[],[],[Candy Apple],dmc
307,Lemon,6-strand,,#fde949,"[yellow,lemon]",[289],[],dmc
309,Rose - Dark,6-strand,Carrie Berry,#ba2044,"[red,rose,dark red]",[],[],dmc
310,Black,6-strand,Black Coffee,#000000,"[black,midnight,mascara]","[403,406]","[Mascara,Okefenokee,Pea Coat,Jack-o-lantern,Ladybug]",dmc
311,Blue - Medium,6-strand,,#002a64,"[blue,navy,dark blue]",[148],[Navy],dmc
312,Baby Blue - Very Dark,6-strand,,#002a64,"[blue,dark blue]","[132,133,139]",[Americana],dmc
315,Antique Mauve - Medium Dark,6-strand,Housewine,#7d4246,"[red,dark red,mauve,brown]",[1019],[Raspberry],dmc
316,Antique Mauve - Medium,6-strand,Organza Pink,#bc757f,"[mauve,pink,rose]","[895,1017]","[Mauve,Madras]",dmc
317,Pewter Gray,6-strand,,#6d6469,"[gray,grey,silver]",[],[Battleship],dmc
318,Steel Gray - Light,6-strand,Miladys Teal,#999b9d,"[gray,grey,steel,silver]",[838],[],dmc
319,Pistachio Green - Very Dark,6-strand,,#3a553b,"[pistachio,green]",[],[],dmc
320,Pistachio Green – Medium,6-strand,Frozen Margarita,#608c59,"[pistachio,green]",[215],"[Ivy,Gulf]",dmc
321,Red,6-strand,,#bd1136,[red],[42],"[Liberty,Lousianna Hot Sauce,Ladybug]",dmc
322,Baby Blue,6-strand,,#3a609d,"[blue,baby blue]","[131,137,146]",[],dmc
326,Rose - Very Dark,6-strand,,#ac1c37,"[red,rose]",[112],[],dmc
327,Violet,6-strand,Pansy Purple,#5e0f77,"[purple,violet]",[],"[Amethyst,Iris]",dmc
333,Blue Violet - Very Dark,6-strand,Amethyst,#6e2e9b,"[purple,violet]",[111],[],dmc
334,Baby Blue - Medium,6-strand,,#6085b8,"[blue,light blue]","[136,977]",[],dmc
335,Rose,6-strand,Blushing Beauty,#d63d57,"[red,rose]","[38,41]",[],dmc
336,Blue,6-strand,,#0c275e,"[blue,navy]",[149],[Michael's Navy],dmc
340,Blue Violet - Medium,6-strand,Berry Bluebell,#996dc3,"[purple,violet]",[],[],dmc
225,Shell Pink - Ultra Very Light,6-strand,,#f8d9cd,"[pink,shell,peach]","[892,1009,1011]",[],dmc
341,Blue Violet - Light,6-strand,,#a39ad7,"[blue,purple,violet]",[],[],dmc
347,Salmon - Very Dark,6-strand,Candy Corn,#ab1b33,"[red,rose,salmon]",[1025],[],dmc
349,Coral - Dark,6-strand,,#c62c38,"[red,coral]",[],[],dmc
350,Coral - Medium,6-strand,Persimmon,#de3f40,"[red,coral]",[11],[Grenadine],dmc
351,Coral,6-strand,Goldfish,#ed625b,"[coral,pink]",[],[Flamingo],dmc
352,Coral - Light,6-strand,Candied Yams,#f78372,"[coral,pink]",[],"[Cantaloupe,Sunset]",dmc
353,Peach,6-strand,Bella Rosa,#fdb4a1,"[peach,pink]",[6],[],dmc
355,Terra Cotta - Dark,6-strand,,#97382b,"[terra cotta,brown,red,dark red]",[884],[Red Rocks],dmc
356,Terra Cotta - Medium,6-strand,Tennessee Red Clay,#be5c4b,"[terra cotta,red,brown]",[],"[Adobe,Cinnabar]",dmc
364,Seagreen - Light,6-strand,Lettuce Leaf,#a5e4d4,"[green,mint green]",[],[],dmc
367,Pistachio Green - Dark,6-strand,Shamrock,#446b45,"[green,pistachio]",[],[],dmc
368,Pistachio Green - Light,6-strand,Spun Sugar,#7fc66d,"[green,pistachio,light green]",[241],[],dmc
369,Pistachio Green - Very Light,6-strand,Creeping Jenny,#cdefa6,"[green,light green,pistachio]",[],[],dmc
370,Mustard - Medium,6-strand,,#917245,"[mustard,brown]",[898],"[Sage,Neapolitan]",dmc
371,Mustard,6-strand,,#9f8352,"[mustard,brown]",[854],[],dmc
372,Mustard - Light,6-strand,Barrel Cactus,#ad9564,"[mustard,brown]",[],[],dmc
400,Mahogany - Dark,6-strand,Calico Kitty,#813718,"[mahogany,red,brown]","[358,371]",[],dmc
402,Mahogany - Very Light,6-strand,Pumpkin Harvest,#ef9e74,"[light mahogany,peach,pink,tan]",[336],[],dmc
407,Desert Sand – Dark,6-strand,Bunny Honey,#b77159,"[sand,tan,brown]",[],[Sanguine],dmc
413,Pewter Gray – Dark,6-strand,,#4a4749,"[pewter,black,gray,grey]",[],[Gunmetal],dmc
414,Steel Gray – Dark,6-strand,,#766e72,"[steel,black,gray,grey,silver]","[235,815]",[Graphite],dmc
415,Pearl Gray,6-strand,Tabby,#b8b9bd,"[gray,grey,silver]",[848],[Shasta],dmc
420,Hazelnut Brown – Dark,6-strand,,#855a30,"[hazelnut,brown]",[375],[],dmc
422,Hazelnut Brown – Light,6-strand,Ginger Snap,#c99a67,"[hazelnut,brown,sand,tan]","[368,373]",[Oak],dmc
433,Brown - Medium,6-strand,Swiss Chocolate,#73421e,[brown],[],[],dmc
434,Brown - Light,6-strand,,#8f5332,"[brown,light brown]",[],"[Pecan,Bright Leaf]",dmc
435,Brown - Very Light,6-strand,,#a96538,"[brown,hazelnut]",[],[Hazelnut],dmc
436,Tan,6-strand,Jakey Brown,#c78559,"[tan,brown,sand]","[914,1045]",[],dmc
437,Tan - Light,6-strand,,#daa26f,"[tan,brown]","[882,9575]","[Straw,Butterscotch]",dmc
444,Lemon - Dark,6-strand,,#f5bc13,"[lemon,yellow,dark yellow]","[290,291,298]",[],dmc
445,Lemon - Light,6-strand,,#fcf999,"[lemon,light lemon,yellow]",[802],[Lemon Chiffon],dmc
451,Shell Gray - Dark,6-strand,Chocolate Cream Pie,#887773,"[gray,grey,dark gray,dark grey,brown,chocolate]",[677],[Hazelnut],dmc
452,Shell Gray - Medium,6-strand,Root Beer Float,#ad9994,"[gray,grey,brown,sand]","[232,676]",[Straw],dmc
453,Shell Gray – Light,6-strand,,#ccb8aa,"[gray,grey,tan,sand]",[391],[Butterscotch],dmc
469,Avocado Green,6-strand,,#5b6533,"[green,avocado]",[],[],dmc
470,Avocado Green – Light,6-strand,,#72813e,"[green,avocado]",[266],[],dmc
471,Avocado Green – Very Light,6-strand,Eves Leaves,#9eb357,"[green,lime,avocado]","[263,265]",[Lemon Chiffon],dmc
472,Avocado Green – Ultra Light,6-strand,,#d1de75,"[green,lime,avocado,light green]",[],[],dmc
498,Red - Dark,6-strand,Bandana,#970b2c,"[red,dark red]","[1006,19,47,799,1005,1015]","[Wisteria,Cape Cod]",dmc
644,Beige Gray - Medium,6-strand,null,#c4bea6,"[gray,grey,beige]","[397,830]",[Citron],dmc
500,Blue Green – Very Dark,6-strand,Camouflage,#1d362a,"[blue green,green,dark blue green,dark]","[1044,218]",[Holly],dmc
501,Blue Green - Dark,6-strand,Shamrock,#2f5446,"[green,blue green,dark blue green]","[851,878]","[Kentucky Bluegrass,Teal Frost]",dmc
502,Blue Green,6-strand,Meadow Green,#57826e,"[green,blue green]",[221],[],dmc
503,Blue Green - Medium,6-strand,,#89b89f,"[blue green,light green]",[875],[],dmc
504,Blue Green - Very Light,6-strand,,#acdac1,"[blue gree,light blue green,mint]",[],[],dmc
505,Grass Green - Dark,6-strand,,#ceddc1,"[green,grass green,light green]",[],[],dmc
517,Wedgewood - Dark,6-strand,,#216285,"[wedgewood,blue green,peacock]",[],[Peacock],dmc
518,Wedgewood - Light,6-strand,,#50819c,"[blue,wedgewood,peacock]",[1064],[Union Blue],dmc
519,Sky Blue,6-strand,,#94b7cb,"[blue,sky blue,light blue]","[1038,117,144,1060]",[],dmc
520,Fern Green - Dark,6-strand,,#384526,"[fern green,green,dark green]","[263,269,862]",[Juniper],dmc
522,Fern Green,6-strand,Barrel Cactus,#808b6e,"[green,fern]",[],[],dmc
523,Fern Green – Light,6-strand,Green Onion,#959f7a,"[green,light green]",[],[Artichoke],dmc
524,Fern Green – Very Light,6-strand,,#aea78e,"[green,fern green]","[858,900]",[],dmc
535,Ash Gray - Very Light,6-strand,Camouflage,#4b4b49,"[gray,grey,dark gray,dark grey]",[],[Kohl],dmc
543,Beige Brown - Ultra Very Light,6-strand,,#ead0b5,"[beige,tan,brown,pink]",[390],[Linen],dmc
550,Violet - Very Dark,6-strand,Rainy Day,#580e5c,"[violet,purple]",[101],[],dmc
552,Violet - Medium,6-strand,Grape Pie,#902f99,"[violet,purple]",[],[Purple Majesty],dmc
553,Violet,6-strand,Vintage Violet,#a449ac,"[violet,purple]",[92],[Ultraviolet],dmc
554,Violet - Light,6-strand,Purple Toile,#dc9cde,"[purple,violet]",[],[],dmc
561,Jade - Very Dark,6-strand,Erin Go Emerald,#285e48,"[green,emerald,jade]","[210,217]",[],dmc
562,Jade - Medium,6-strand,null,#3b8c5a,"[green,jade]",[205],[],dmc
564,Jade - Very Light,6-strand,null,#95e4af,"[green,mint,jade,light green]",[219],[Madras],dmc
580,Moss Green - Dark,6-strand,null,#355f0b,"[green,dark green]","[258,817]",[],dmc
581,Moss Green,6-strand,null,#838a29,[green],[844],[],dmc
597,Turquoise,6-strand,null,#52adab,"[turquoise,green]","[1070,186,675,1039]",[Bermuda],dmc
598,Turquoise - Light,6-strand,null,#52adab,"[green,turquoise]","[167,168,1092]","[Island Breeze,Blue Aster]",dmc
600,Cranberry - Very Dark,6-strand,null,#bf1c48,"[red,cranberry]",[],[],dmc
601,Cranberry - Dark,6-strand,null,#c62a53,"[red,cranberry]",[],[Blackberry],dmc
602,Cranberry - Medium,6-strand,Cerise,#d63f68,"[red,pink,cranberry]",[],[Love],dmc
603,Cranberry,6-strand,null,#ed5d84,"[pink,cranberry]","[40,62]","[Bubble Gum,Love]",dmc
604,Cranberry - Light,6-strand,null,#f793b2,"[pink,cranberry]",[],[],dmc
605,Cranberry - Very Light,6-strand,Sugar and Spice,#fbacc4,"[pink,cranberry]","[1094,51,85]",[],dmc
606,Orange-Red - Bright,6-strand,Lobster Claw,#f70f00,"[red,orange,orange-red]","[334,335,46]",[Fire],dmc
608,Orange - Bright,6-strand,null,#fd480c,"[orange,bright orange]",[],[],dmc
610,Drab Brown - Dark,6-strand,null,#6b5039,"[brown,drab brown]",[],"[Havana,Beehive]",dmc
611,Drab Brown,6-strand,Khaki Mocha,#7c5f46,[brown],"[354,379,678]","[Putty,Latte,White Chocolate,Thistle]",dmc
612,Drab Brown - Light,6-strand,Fools Gold,#a6885e,"[brown,light brown]",[],"[Cornsilk,Pebble,Taupe]",dmc
613,Drab Brown - Very Light,6-strand,Khaki Mocha,#b99f72,"[brown,light brown]",[853],"[Light Khaki,Desert]",dmc
632,Desert Sand - Ultra Very Dark,6-strand,Old Oak Tree,#7f4232,"[sand,brown]",[],[],dmc
640,Beige Gray - Very Dark,6-strand,null,#817868,"[gray,grey,beige]",[233],[Flatfish],dmc
642,Beige Gray - Dark,6-strand,null,#958d79,"[gray,grey,beige]",[],[London Fog],dmc
645,Beaver Gray - Very Dark,6-strand,La Tierra,#5d5d54,"[gray,grey,dark gray,dark grey]",[400],[Galvanized],dmc
646,Beaver Gray - Dark,6-strand,null,#6b6860,"[gray,grey,dark gray,dark grey]",[],"[Spanish Moss,Hosta]",dmc
647,Beaver Gray - Medium,6-strand,Lunar Eclipse,#908e85,"[gray,grey,medium gray,medium grey]","[399,850]",[Pewter],dmc
648,Beaver Gray - Light,6-strand,,#a7a69f,"[gray,grey,light grey,light gray]",[],[Tin Roof],dmc
666,Red - Bright,6-strand,null,#ce1b33,"[red,bright red]","[1098,29]",[],dmc
676,Old Gold - Light,6-strand,Fools Gold,#ecbf7d,"[gold,yellow,peach]","[311,361,886,891,942]",[],dmc
677,Old Gold - Very Light,6-strand,Ginger Snap,#f2dc9f,"[gold,yellow,light yellow]",[300],[],dmc
680,Old Gold - Dark,6-strand,null,#b07b46,"[gold,dark gold]",[369],[Light Khaki],dmc
699,Green,6-strand,null,#075b26,[green],[],[Desert],dmc
700,Green - Bright,6-strand,Fancy Green Nancy,#076c34,[green],"[211,228,229]","[Flatfish,London Fog]",dmc
701,Green - Light,6-strand,null,#217c36,"[green,light green]",[227],[],dmc
702,Kelly Green,6-strand,null,#379130,"[green,kelly green]","[226,239]",[],dmc
703,Chartreuse,6-strand,null,#63b330,"[green,light green]",[238],[],dmc
704,Chartreuse - Bright,6-strand,Frozen Margarita,#88c53a,"[green,light green]","[237,255]",[],dmc
712,Cream,6-strand,null,#f6efda,"[cream,off white,tan]",[],[],dmc
718,Plum,6-strand,null,#cb2089,"[plum,pink]",[87],[],dmc
720,Orange Spice - Dark,6-strand,null,#c83a24,[orange],[],[],dmc
721,Orange Spice - Medium,6-strand,null,#f46440,[orange],[324],[],dmc
722,Orange Spice - Light,6-strand,Tangerine,#f98756,[orange],[323],[],dmc
725,Topaz,6-strand,Sunshine Girl,#f9c15b,"[yellow,topaz]","[302,305]",[Absinthe],dmc
726,Topaz - Light,6-strand,null,#fddb63,[yellow],[295],[Pumpkin],dmc
727,Topaz - Very Light,6-strand,Lemon Lime,#fde98b,"[yellow,topaz]",[293],[],dmc
728,Golden Yellow,6-strand,null,#f2ae3f,"[yellow,orange]",[],[],dmc
729,Old Gold - Medium,6-strand,Ginger Snap,#ce9657,"[gold,yellow,orange]","[347,820,943]",[],dmc
730,Olive Green - Very Dark,6-strand,Pea Pod,#63520b,"[olive green,green,dark green]",[924],"[Saffron,Sally's Sunshine]",dmc
731,Olive Green - Dark,6-strand,Pea Pod,#6b580b,"[green,olive]",[],[Squash],dmc
732,Olive Green,6-strand,Desert Mesquite,#725c0c,"[olive green,green]",[],[Beehive],dmc
733,Olive Green - Medium,6-strand,Bean Sprout,#a78a44,"[olive green,green]",[280],[Moss],dmc
734,Olive Green - Light,6-strand,Dandelion Stem,#bb9c54,"[green,gold,olive green]","[279,945]",[Bullfrog],dmc
738,Tan - Very Light,6-strand,null,#e2b783,"[tan,brown]","[367,372]","[Lichen,Pistachio]",dmc
739,Tan - Ultra Very Light,6-strand,null,#f2deb9,"[tan,light brown]","[276,387]","[Guacamole,Citron,Shasta]",dmc
740,Tangerine,6-strand,null,#fd6f1a,"[orange,tangerine]","[316,3324]",[Beige],dmc
741,Tangerine - Medium,6-strand,null,#fc8b10,"[orange,tangerine]","[304,307,314]",[Coleus],dmc
742,Tangerine - Light,6-strand,Golden Star,#fdae3c,"[orange,tangerine]",[],[Angel Hair],dmc
743,Yellow - Medium,6-strand,Candy Corn,#fdd769,[yellow],[288],[Parchment],dmc
744,Yellow - Pale,6-strand,Golden Star,#fee88d,[yellow],[],[],dmc
745,Yellow - Light Pale,6-strand,Cottage Garden,#feeba5,[yellow],[292],[],dmc
746,Off White,6-strand,null,#faf2d5,"[off white,cream]",[926],[],dmc
747,Sky Blue - Very Light,6-strand,null,#cee9ea,"[light blue,blue]",[158],[],dmc
754,Peach - Light,6-strand,Cobbled Peach,#f7c9b0,"[peach,pink]",[778],[],dmc
758,Terra Cotta - Very Light,6-strand,null,#e99f83,"[peach,pink]",[],[Honeysuckle],dmc
760,Salmon,6-strand,null,#ec8880,"[pink,salmon]","[1022,9]",[Cherub],dmc
761,Salmon - Light,6-strand,Goldfish,#f8b4ad,"[pink,salmon]",[893],"[Foxglove,Neapolitan,Peach Fuzz,Peach Cobbler]",dmc
762,Pearl Gray - Very Light,6-strand,null,#d1d0d2,"[gray,grey,silver]","[234,847]",[Coleus],dmc
