description,color,dmc_code,keywords,brand
Absinthe,#f9c15b,725,"[yellow,topaz]",weeksDyeWorks
Adobe,#be5c4b,356,"[terra cotta,red,brown]",weeksDyeWorks
Amber,#7c82b5,793,[blue],weeksDyeWorks
Americana,#002a64,312,"[blue,dark blue]",weeksDyeWorks
Amethyst,#5e0f77,327,"[purple,violet]",weeksDyeWorks
Angel Hair,#fdae3c,742,"[orange,tangerine]",weeksDyeWorks
Artichoke,#959f7a,523,"[green,light green]",weeksDyeWorks
Autumn Leaves,#ec8f43,977,"[brown,gold]",weeksDyeWorks
Baked Apple,#792631,221,[],weeksDyeWorks
Banana Popsicle,#fcf6b6,3078,"[yellow,gold]",weeksDyeWorks
Bashful,#284779,824,"[dark blue,blue]",weeksDyeWorks
Battleship,#6d6469,317,"[gray,grey,silver]",weeksDyeWorks
Beehive,#6b5039,610,"[brown,drab brown]",weeksDyeWorks
Beige,#fd6f1a,740,"[orange,tangerine]",weeksDyeWorks
Bermuda,#52adab,597,"[turquoise,green]",weeksDyeWorks
Blackberry,#c62a53,601,"[red,cranberry]",weeksDyeWorks
Blaze,#c63117,900,"[red,orange]",weeksDyeWorks
Blue Aster,#52adab,598,"[green,turquoise]",weeksDyeWorks
Blue Bonnet,#4e5ca7,798,[blue],weeksDyeWorks
Blue Heron,#93a0af,932,[blue],weeksDyeWorks
Blue Jeans,#667684,931,"[blue,gray,grey]",weeksDyeWorks
Blue Spruce,#49523c,3362,"[green,pine]",weeksDyeWorks
Bluecoat Red,#be444a,3328,"[red,salmon]",weeksDyeWorks
Bordeaux,#79263b,3685,"[mauve,red,maroon]",weeksDyeWorks
Boysenberry,#79263b,3685,"[mauve,red,maroon]",weeksDyeWorks
Brick,#792631,221,[],weeksDyeWorks
Bright Leaf,#8f5332,434,"[brown,light brown]",weeksDyeWorks
Bubble Gum,#ed5d84,603,"[pink,cranberry]",weeksDyeWorks
Bullfrog,#bb9c54,734,"[green,gold,olive green]",weeksDyeWorks
Busy Lizzie,#dc7c86,3688,"[mauve,rose,pink]",weeksDyeWorks
Butter Bean,#8e9b6d,3364,"[green,pine green]",weeksDyeWorks
Butterscotch,#daa26f,437,"[tan,brown]",weeksDyeWorks
Camelia,#dc7c86,3688,"[mauve,rose,pink]",weeksDyeWorks
Candy Apple,#a10c39,304,[],weeksDyeWorks
Cantaloupe,#f78372,352,"[coral,pink]",weeksDyeWorks
Cape Cod,#970b2c,498,"[red,dark red]",weeksDyeWorks
Caper,#383a2a,935,[dark green],weeksDyeWorks
Caribbean,#42b59e,992,"[aqua,green]",weeksDyeWorks
Celadon,#8b7b4e,3012,"[green,khaki]",weeksDyeWorks
Charcoal,#50403b,3021,"[dark brown,dark gray,dark grey]",weeksDyeWorks
Charlotte's Pink,#bb6864,223,[],weeksDyeWorks
Chartreuse,#9dc72d,907,[green],weeksDyeWorks
Cherry Vanilla,#fca8ad,776,[pink],weeksDyeWorks
Cherub,#ec8880,760,"[pink,salmon]",weeksDyeWorks
Chesapeake,#384a4a,924,"[gray,grey,green,dark green,dark blue green]",weeksDyeWorks
Chestnut,#45271a,938,"[brown,dark brown]",weeksDyeWorks
Chrysanthemum,#ab4836,920,"[red,copper,brown]",weeksDyeWorks
Cinnabar,#be5c4b,356,"[terra cotta,red,brown]",weeksDyeWorks
Cinnamon Twist,#813c11,975,"[brown,dark brown]",weeksDyeWorks
Citron,#c4bea6,644,"[gray,grey,beige]",weeksDyeWorks
Citronella,#e1f477,165,[],weeksDyeWorks
Clara,#e5bded,211,[],weeksDyeWorks
Clockwork,#c0573d,921,"[red,copper]",weeksDyeWorks
Cognac,#aa5237,150,[],weeksDyeWorks
Coleus,#fc8b10,741,"[orange,tangerine]",weeksDyeWorks
Collards,#3f4227,936,[dark green],weeksDyeWorks
Conch,#e5ac8d,950,"[sand,pink,peach]",weeksDyeWorks
Concord,#4b233a,154,"[red,dark red,purple]",weeksDyeWorks
Copper,#aa5237,null,[],weeksDyeWorks
Cornsilk,#a6885e,612,"[brown,light brown]",weeksDyeWorks
Cranberry Ice,#bb1630,817,"[red,dark red]",weeksDyeWorks
Crepe Myrtle,#fd95a3,894,"[pink,light pink]",weeksDyeWorks
Dahlia,#d94c9d,3607,"[pink,rose,plum]",weeksDyeWorks
Deep Sea,#384a4a,924,"[gray,grey,green,dark green,dark blue green]",weeksDyeWorks
Desert,#b99f72,613,"[brown,light brown]",weeksDyeWorks
Dolphin,#617674,926,"[gray,grey,green]",weeksDyeWorks
Dove,#9fa8a5,927,"[gray,grey,grey green,gray green]",weeksDyeWorks
Dutch Iris,#6b7fc0,799,"[blue,light blue]",weeksDyeWorks
Emerald,#436838,987,[green],weeksDyeWorks
Envy,#106b43,909,[green],weeksDyeWorks
Eucalyptus,#8e9b6d,3364,"[green,pine green]",weeksDyeWorks
Father's Day,#495c6b,930,[blue],weeksDyeWorks
Fire,#f70f00,606,"[red,orange,orange-red]",weeksDyeWorks
Flamingo,#ed625b,351,"[coral,pink]",weeksDyeWorks
Flatfish,#817868,640,"[gray,grey,beige]",weeksDyeWorks
Foxglove,#f8b4ad,761,"[pink,salmon]",weeksDyeWorks
Galvanized,#5d5d54,645,"[gray,grey,dark gray,dark grey]",weeksDyeWorks
Garnet,#151264,820,"[blue,dark blue]",weeksDyeWorks
Garrison Green,#655935,3011,"[green,khaki]",weeksDyeWorks
Gold,#d2b468,834,"[gold,yellow]",weeksDyeWorks
Goldenrod,#d2b468,834,"[gold,yellow]",weeksDyeWorks
Grape Vine,#4a3021,838,"[brown,beige,dark brown]",weeksDyeWorks
Graphite,#766e72,414,"[steel,black,gray,grey,silver]",weeksDyeWorks
Grasshopper,#8b7b4e,3012,"[green,khaki]",weeksDyeWorks
Grenadine,#de3f40,350,"[red,coral]",weeksDyeWorks
Grey,#9d8868,3032,"[brown,taupe]",weeksDyeWorks
Guacamole,#f2deb9,739,"[tan,light brown]",weeksDyeWorks
Gulf,#608c59,320,"[pistachio,green]",weeksDyeWorks
Gunmetal,#4a4749,413,"[pewter,black,gray,grey]",weeksDyeWorks
Havana,#6b5039,610,"[brown,drab brown]",weeksDyeWorks
Hazelnut,#a96538,435,"[brown,hazelnut]",weeksDyeWorks
Hibiscus,#d7efa7,772,"[green,lime]",weeksDyeWorks
Holly,#1d362a,500,"[blue green,green,dark blue green]",weeksDyeWorks
Honeysuckle,#e99f83,758,"[peach,pink]",weeksDyeWorks
Hosta,#6b6860,646,"[gray,grey,dark gray,dark grey]",weeksDyeWorks
Hunter,#436838,987,[green],weeksDyeWorks
Hydrangea,#34588f,825,"[blue,dark blue]",weeksDyeWorks
Iceberg,#9b0042,777,[red],weeksDyeWorks
Iris,#5e0f77,327,"[purple,violet]",weeksDyeWorks
Island Breeze,#52adab,598,"[green,turquoise]",weeksDyeWorks
Ivy,#608c59,320,"[pistachio,green]",weeksDyeWorks
Jack-o-lantern,#000000,310,"[black,midnight,mascara]",weeksDyeWorks
Jay Bird,#93a0af,932,[blue],weeksDyeWorks
Julian,#848274,3022,"[gray,grey,brown]",weeksDyeWorks
Juniper,#384526,520,"[fern green,green,dark green]",weeksDyeWorks
Kentucky Bluegrass,#2f5446,501,"[green,blue green,dark blue green]",weeksDyeWorks
King Mackerel,#9fa8a5,927,"[gray,grey,grey green,gray green]",weeksDyeWorks
Kohl,#4b4b49,535,"[gray,grey,dark gray,dark grey]",weeksDyeWorks
Kris' Bon Bon,#532f1b,898,"[brown,dark brown]",weeksDyeWorks
Kudzu,#617451,3363,"[green,pine green]",weeksDyeWorks
LadyBug,#bd1136,321,[red],weeksDyeWorks
Ladybug,#000000,310,"[black,midnight,mascara]",weeksDyeWorks
Lagoon,#0db294,958,"[green,seagreen]",weeksDyeWorks
Latte,#7c5f46,611,[brown],weeksDyeWorks
Lemon Chiffon,#fcf999,445,"[lemon,light lemon,yellow]",weeksDyeWorks
Liberty,#bd1136,321,[red],weeksDyeWorks
Lichen,#e2b783,738,"[tan,brown]",weeksDyeWorks
Light Khaki,#b99f72,613,"[brown,light brown]",weeksDyeWorks
Lilac,#af98a0,3042,"[violet,purple]",weeksDyeWorks
Linen,#ead0b5,543,"[beige,tan,brown,pink]",weeksDyeWorks
London Fog,#958d79,642,"[gray,grey,beige]",weeksDyeWorks
Louisiana Hot Sauce,#bd1136,321,[red],weeksDyeWorks
Lousianna Hot Sauce,#bd1136,321,[red],weeksDyeWorks
Love,#d63f68,602,"[red,pink,cranberry]",weeksDyeWorks
Lucky,#56743b,3346,"[green,hunter]",weeksDyeWorks
Madison Rose,#bb6864,223,[],weeksDyeWorks
Madras,#bc757f,316,"[mauve,pink,rose]",weeksDyeWorks
Marigold,#fc670d,971,"[orange,red,pumpkin]",weeksDyeWorks
Mascara,#000000,310,"[black,midnight,mascara]",weeksDyeWorks
Mauve,#bc757f,316,"[mauve,pink,rose]",weeksDyeWorks
Meadow,#71a74e,989,[green],weeksDyeWorks
Meredith's Pink,#d4e3ef,775,"[blue,light blue,baby blue]",weeksDyeWorks
Merlin,#45271a,938,"[brown,dark brown]",weeksDyeWorks
Merlot,#fededd,818,"[pink,light pink]",weeksDyeWorks
Miami,#495c6b,930,[blue],weeksDyeWorks
Michael's Navy,#0c275e,336,"[blue,navy]",weeksDyeWorks
Mimosa,#e5ac8d,950,"[sand,pink,peach]",weeksDyeWorks
Molasses,#532f1b,898,"[brown,dark brown]",weeksDyeWorks
Monkey Grass,#344b2e,895,"[green ,dark green]",weeksDyeWorks
Moonglow,#e1f477,165,[],weeksDyeWorks
Moss,#a78a44,733,"[olive green,green]",weeksDyeWorks
Navy,#002a64,311,"[blue,navy,dark blue]",weeksDyeWorks
Neapolitan,#917245,370,"[mustard,brown]",weeksDyeWorks
Oak,#c99a67,422,"[hazelnut,brown,sand,tan]",weeksDyeWorks
Okefenokee,#000000,310,"[black,midnight,mascara]",weeksDyeWorks
Olive,#7c5f20,831,"[gold,brown]",weeksDyeWorks
Oscar,#655935,3011,"[green,khaki]",weeksDyeWorks
Palomino,#855d31,167,[],weeksDyeWorks
Parchment,#fdd769,743,[yellow],weeksDyeWorks
Pea Coat,#000000,310,"[black,midnight,mascara]",weeksDyeWorks
Peach,#e5ac8d,950,"[sand,pink,peach]",weeksDyeWorks
Peach Cobbler,#f8b4ad,761,"[pink,salmon]",weeksDyeWorks
Peach Fuzz,#f8b4ad,761,"[pink,salmon]",weeksDyeWorks
Peacock,#216285,517,"[wedgewood,blue green,peacock]",weeksDyeWorks
Pebble,#a6885e,612,"[brown,light brown]",weeksDyeWorks
Pecan,#8f5332,434,"[brown,light brown]",weeksDyeWorks
Peoria Purple,#9774b6,155,[],weeksDyeWorks
Pewter,#908e85,647,"[gray,grey,medium gray,medium grey]",weeksDyeWorks
Pistachio,#e2b783,738,"[tan,brown]",weeksDyeWorks
Pumpkin,#fddb63,726,[yellow],weeksDyeWorks
Purple Majesty,#902f99,552,"[violet,purple]",weeksDyeWorks
Putty,#7c5f46,611,[brown],weeksDyeWorks
Raspberry,#7d4246,315,"[red,dark red,mauve,brown]",weeksDyeWorks
Red Rocks,#97382b,355,"[terra cotta,brown,red,dark red]",weeksDyeWorks
River Rock,#866a76,3041,"[violet,purple]",weeksDyeWorks
Rose Quartz,#a25f1f,781,"[topaz,brown]",weeksDyeWorks
Rum Raisin,#651329,902,"[red,dark red]",weeksDyeWorks
Saffron,#63520b,730,"[olive green,green,dark green]",weeksDyeWorks
Sage,#917245,370,"[mustard,brown]",weeksDyeWorks
Sally's Sunshine,#63520b,730,"[olive green,green,dark green]",weeksDyeWorks
Salt Glaze,#9fa8a5,927,"[gray,grey,grey green,gray green]",weeksDyeWorks
Sand,#e5ac8d,950,"[sand,pink,peach]",weeksDyeWorks
Sanguine,#b77159,407,"[sand,tan,brown]",weeksDyeWorks
Scuppernong,#787e5c,3052,"[green,gray green,grey green]",weeksDyeWorks
Sea Foam,#9fa8a5,927,"[gray,grey,grey green,gray green]",weeksDyeWorks
Sea Glass,#42b59e,992,"[aqua,green]",weeksDyeWorks
Seaweed,#383a2a,935,[dark green],weeksDyeWorks
Sedonna,#393068,158,[],weeksDyeWorks
Shasta,#b8b9bd,415,"[gray,grey,silver]",weeksDyeWorks
Shepherd's Blue,#495c6b,930,[blue],weeksDyeWorks
Skinny Dip,#e5ac8d,950,"[sand,pink,peach]",weeksDyeWorks
Sophia's Pink,#fdccd1,963,"[pink,light pink]",weeksDyeWorks
Spanish Moss,#6b6860,646,"[gray,grey,dark gray,dark grey]",weeksDyeWorks
Squash,#6b580b,731,"[green,olive]",weeksDyeWorks
Stone,#b26923,782,"[topaz,brown]",weeksDyeWorks
Straw,#daa26f,437,"[tan,brown]",weeksDyeWorks
Strawberry Fields,#cf0053,150,[],weeksDyeWorks
Sunset,#f78372,352,"[coral,pink]",weeksDyeWorks
Swamp Water,#50403b,3021,"[dark brown,dark gray,dark grey]",weeksDyeWorks
Sweet Potato,#ab4836,920,"[red,copper,brown]",weeksDyeWorks
Sweetheart Rose,#53332d,779,[brown],weeksDyeWorks
Tatanka,#4a3021,838,"[brown,beige,dark brown]",weeksDyeWorks
Taupe,#a6885e,612,"[brown,light brown]",weeksDyeWorks
Teal Frost,#2f5446,501,"[green,blue green,dark blue green]",weeksDyeWorks
Terra Cotta,#ab4836,920,"[red,copper,brown]",weeksDyeWorks
Terragon,#655935,3011,"[green,khaki]",weeksDyeWorks
Thistle,#7c5f46,611,[brown],weeksDyeWorks
Thyme,#8b7b4e,3012,"[green,khaki]",weeksDyeWorks
Tin Roof,#a7a69f,648,"[gray,grey,light]",weeksDyeWorks
Tobacco Road,#784c28,869,"[brown,dark brown]",weeksDyeWorks
Turkish Red,#151264,820,"[blue,dark blue]",weeksDyeWorks
Twilight,#384a4a,924,"[gray,grey,green,dark green,dark blue green]",weeksDyeWorks
Ultraviolet,#a449ac,553,"[violet,purple]",weeksDyeWorks
Union Blue,#50819c,518,"[blue,wedgewood,peacock]",weeksDyeWorks
Watermelon Punch,#ee3246,891,[pink],weeksDyeWorks
Whiskey,#7c82b5,793,[blue],weeksDyeWorks
White Chocolate,#7c5f46,611,[brown],weeksDyeWorks
White Lightening,#eb7183,962,[pink],weeksDyeWorks
Wisteria,#970b2c,498,"[red,dark red]",weeksDyeWorks